eventID,eventRemarks,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
UWPHHCZoop_CB986-20120905DBN,stationVisit,UWPHHCZoop_CB986,2012-09-05T21:18:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,85.0,
UWPHHCZoop_CB988-20121001UND,stationVisit,UWPHHCZoop_CB988,2012-10-01T13:35:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,60.0,
UWPHHCZoop_CB988-20121001UNN,stationVisit,UWPHHCZoop_CB988,2012-10-01T19:56:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,64.0,
UWPHHCZoop_CB988-20121002HPN,stationVisit,UWPHHCZoop_CB988,2012-10-02T20:55:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,112.0,
UWPHHCZoop_CB988-20121003DUN,stationVisit,UWPHHCZoop_CB988,2012-10-03T21:24:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,164.0,
UWPHHCZoop_CB988-20121004DBD,stationVisit,UWPHHCZoop_CB988,2012-10-04T14:30:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,95.0,
UWPHHCZoop_CB988-20121004DBN,stationVisit,UWPHHCZoop_CB988,2012-10-04T21:28:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,90.0,
UWPHHCZoop_CB1002-20130610UND,stationVisit,UWPHHCZoop_CB1002,2013-06-10T17:13:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,60.0,
UWPHHCZoop_CB1002-20130610UNN,stationVisit,UWPHHCZoop_CB1002,2013-06-10T22:35:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,68.0,
UWPHHCZoop_CB1002-20130611HPN,stationVisit,UWPHHCZoop_CB1002,2013-06-11T22:43:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,110.0,
UWPHHCZoop_CB1002-20130612HPN,stationVisit,UWPHHCZoop_CB1002,2013-06-12T01:47:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,110.0,
UWPHHCZoop_CB1002-20130613DUN,stationVisit,UWPHHCZoop_CB1002,2013-06-13T01:06:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,160.0,
UWPHHCZoop_CB1002-20130613DBD,stationVisit,UWPHHCZoop_CB1002,2013-06-13T16:30:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,65.0,
UWPHHCZoop_CB1002-20130613DBN,stationVisit,UWPHHCZoop_CB1002,2013-06-13T22:38:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,65.0,
UWPHHCZoop_CB1003-20130708UNN,stationVisit,UWPHHCZoop_CB1003,2013-07-08T22:32:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,64.0,
UWPHHCZoop_CB1003-20130709HPD,stationVisit,UWPHHCZoop_CB1003,2013-07-09T19:30:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,107.0,
UWPHHCZoop_CB1003-20130710UND,stationVisit,UWPHHCZoop_CB1003,2013-07-10T15:17:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,63.0,
UWPHHCZoop_CB1003-20130711DUN,stationVisit,UWPHHCZoop_CB1003,2013-07-11T00:32:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,160.0,
UWPHHCZoop_CB1003-20130711DBD,stationVisit,UWPHHCZoop_CB1003,2013-07-11T18:28:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,70.0,
UWPHHCZoop_CB1005-20130805UND,stationVisit,UWPHHCZoop_CB1005,2013-08-05T16:09:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,58.0,
UWPHHCZoop_CB1005-20130805UNN,stationVisit,UWPHHCZoop_CB1005,2013-08-05T22:07:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,65.0,
UWPHHCZoop_CB1005-20130806HPD,stationVisit,UWPHHCZoop_CB1005,2013-08-06T16:15:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,105.0,
UWPHHCZoop_CB1005-20130807DUN,stationVisit,UWPHHCZoop_CB1005,2013-08-07T22:33:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,162.0,
UWPHHCZoop_CB1005-20130808DBD,stationVisit,UWPHHCZoop_CB1005,2013-08-08T15:54:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,55.0,
