occurrenceID,life_history_stage
116ab066-ae40-45a2-a792-03b22edfcbd8,Female;_Adult
4169dcc6-3245-4d21-a4ab-c863a9fe3a62,Male;_Adult
8dc46383-ea76-42f2-aa10-e24f19ada19d,1;_CI
ed772afa-c8db-4115-b5e9-1f46c2897d32,3;_CIII
c8f23db6-a50a-44bc-ad9d-58fb2010668b,4;_CIV
57e4c476-10ec-44f2-ab4f-26bb7e9680f8,5;_CV
d0e7cfc4-8900-4f29-a991-b671a9a74871,Cyprid_larva
c33568f7-28e5-40eb-9984-0fe8f29c56dc,Female;_Adult
b6a4ffd9-43b4-47e4-abfd-96cf8b1d0769,Male;_Adult
c63c7d85-fd99-4b9e-8809-89554c36ff5a,Cal2;_Calyptopis_2
603aa37b-59ab-4564-9a3f-4f89862ade08,Cal3;_Calyptopis_3
2e9573ad-a552-46c7-a1c3-db8530782494,Metanauplius
5043016e-8498-406f-84f9-1c5e523e07ce,Unknown
31274792-6d4e-4266-a42d-33db6e66c758,Unknown
6a270863-070a-4fe7-8cb9-00798dd71036,Unknown
13e18591-8b21-4de4-95e2-1c667eb42e18,Female;_Adult
7a7ad93c-0740-4bd7-9097-0d48f13b8586,Male;_Adult
f8d77147-31bf-40c0-9ae3-83c5271f1855,1;_CI
13c9be70-f55f-463e-b046-db28a84c11e3,2;_CII
bb3a98a7-d09b-405d-b124-d50ae2933116,3;_CIII
fae39fd5-7b43-4626-a4db-ef4642d1be38,4;_CIV
36ad09b9-332a-48eb-9297-c02fefc498b8,5;_CV
ddf53727-0a7f-4539-b294-c3e3b080dc26,Unknown
07dd237d-2543-48be-8141-7e0a9e879964,Copepodite
4526ab51-62f3-4c5a-b8d0-7bb35c0f8df2,Female;_Adult
d60dc0a3-1ef3-4349-b4f8-e7857ed0dfb7,Male;_Adult
49be80fc-7ab0-4a97-90e1-ed985dd5c7b8,Copepodite
d8ffa1f9-f979-416b-a0b1-9e54fbe7b694,Unknown
499247fc-ec88-45c1-b62d-16830d6ab4dc,Female;_Adult
35f72c41-7561-4d30-afe9-7b51bd909832,Male;_Adult
ef145691-2f5e-421c-acdc-5e301cb1af10,4;_CIV
c3f09ab7-751c-4d5a-9eb3-6247ce79749a,5;_CV
7e91b8fb-ed39-4fa4-9908-012a5efeeeac,Unknown
9f3d57d7-b0b9-4e2d-a695-225508b7a67e,Trocophore_larva
e9fb2f7f-4d93-49cc-8468-80531423796f,Female;_Adult
4f6e2b35-0aed-46ee-9b4f-75775ec3b074,Male;_Adult
2e0f9ede-51a4-4f80-a9f2-6642cd157aac,4;_CIV
9c88ed20-add3-449e-bc33-dcfbae8d297b,5;_CV
998656c0-6a7c-40d4-9004-f953b200ba4f,Unknown
d8d4bfbe-2c4a-4edc-afde-303b6a47b9f1,Female;_Adult
bda54607-b194-4cdf-99b8-2cf3e01b981d,Medusa
13c41314-22a6-4191-a71a-489a65b87a2b,Veliger
2d922bf2-03cd-4e64-979d-eea8692d5db7,Female;_Adult
8597d61a-a9e7-422a-b3f3-fd304e26e736,Male;_Adult
e3081ea0-9202-44a5-bd5e-4b5099c2d817,1;_CI
4c73eb66-2f27-4406-96b9-dcaf83dc0173,2;_CII
51d8c61b-2749-474b-b854-7545f892c2b3,3;_CIII
6a20d5db-d33d-4a9d-bdd0-4284189e9975,4;_CIV
65e88770-a210-414a-8d23-bc4a579a8552,5;_CV
4ad2f6f2-76fc-493e-9568-ad2fc37e31be,Female;_Adult
d868b547-0173-41ce-b61c-82511ccf52f2,5;_CV
b8da7774-1605-49c6-970b-a6abfd898b09,Cyprid_larva
4565137b-0dac-44fa-a745-18fa1307fa0d,Female;_Adult
f8450766-359b-4bd0-a345-121f17958552,Male;_Adult
9f70be6c-3bc9-4d3a-b09c-e9c7324f004e,Cal3;_Calyptopis_3
eb4765e3-fbad-42c7-9726-f5745a982426,Egg
fbdf9c9b-0369-498d-aeed-273ccce68d9d,Medusa
26bdd033-9e33-47ed-8bbe-2a37b499415f,Unknown
158d1016-4a8f-426e-b099-5e5372257909,Male;_Adult
c1035515-44ae-4c80-83e9-13ee58e5d24b,2;_CII
4d792774-fd7a-4618-87b7-bcae7b03681f,3;_CIII
d4c0c7c1-b2a4-436f-8033-e303d7f861e4,4;_CIV
a20f5f22-2f40-4985-bd7a-646a97cdd6cd,5;_CV
a2145ad3-9c4e-446a-9b80-80a609502aa3,Copepodite
ad9f8d2a-4cfd-4a8f-8924-88e9de65885f,Female;_Adult
9f3a71f2-43c1-4f98-9f4d-a03a6adeba21,Male;_Adult
4d8e947d-4c35-492c-b870-10cb20737549,Adult
8738e854-3357-49ff-b144-2094f37dffe2,Female;_Adult
24e24dfe-eee0-4651-88dc-71a2db414de4,Male;_Adult
37844122-a929-45fb-b392-5731bc5b8f5d,4;_CIV
99f2aba9-cfc7-4fad-a3fd-bae48cea3b22,5;_CV
d5fc6c22-1ce6-4db0-a9d9-e0cd63a16585,Female;_Adult
1ae7c32a-4144-4862-9e4b-fc01f17a0e79,Male;_Adult
e3a7e7d9-85f3-4bb5-af13-8c39e51a7fef,3;_CIII
5ba1c88c-28e1-4f9a-b8ab-9e3faacb3363,4;_CIV
7b683974-8445-46be-be65-851e07127a5e,5;_CV
10c7e367-68fd-42a4-88fd-016476632477,Unknown
c56e0f3c-312b-464c-a342-e9c6171d9f1a,Unknown
48025e67-d053-47fd-a4ee-6a6e53e32189,Unknown
f3cea279-17f7-4fc0-a6b0-34c2243198c5,Adult
54633a57-5d5d-4b4a-a61e-ab1b3ec876ea,F1;_Furcilia_1
b9fef06f-1788-4e19-9e35-4337790fb74e,F2;_Furcilia_2
4d681fcd-5d5f-4459-a2b7-20713de1a738,F3;_Furcilia_3
1b7ea022-78ad-40b8-b16d-cd2e2cdd2b09,F4;_Furcilia_4
2bf385de-0d41-416d-8fc1-914120658e07,Juvenile
9f17eae0-c343-4e1a-bd13-e1a928d76601,Z5;_Zoea_V
92271960-1bdc-4a73-a96a-e60dd8a7872d,Unknown
481b2465-e81c-43ca-8d32-9bdda9188104,Megalopa
48fc34c8-d7f9-4bb2-8643-68050dd88593,Zoea
5f61d191-7fe6-4d82-ac55-a12767b10853,Unknown
2f9bc375-6ad4-49cd-9702-f6a63864bd78,Female;_Adult
29fd3e0d-0107-4842-9882-2ffc7e226897,Male;_Adult
16e278ef-2ab3-463a-988d-7b38dc953cc1,Planula_larvae
6d4aa558-a627-4780-8e72-90d1c4ee986d,Medusa
998a5bc2-71bb-430a-9137-28ea2ac7afb7,Cyphonaut
05bc222c-958a-4ecd-ad3a-f785bfbf94f4,Female;_Adult
8cba4e1f-6b9b-4e69-ba08-c93ce2aa1002,Male;_Adult
cc2c1f63-1027-4e45-a87b-a7a65b9c0b9b,1;_CI
e57c64b3-1bda-4226-831a-fa08ef77b427,2;_CII
e36879c3-b205-420b-85d8-9acf437ef041,3;_CIII
d794674b-328e-43e3-8ea0-eff919d8847d,4;_CIV
bf8ab8cc-010b-495e-8ec6-7d1635c5e891,5;_CV
57dddce6-1293-4554-9055-6998ebab2175,Female;_Adult
3b6897d3-85e4-46ea-bae3-9e1f4cbed3b8,Male;_Adult
6e54eb2f-678e-4a28-b23b-5309307d84f2,3;_CIII
23e26996-a0fa-4170-8276-8021a3526147,4;_CIV
3daefe60-561d-4b11-8d73-b8447f96bb6b,5;_CV
f57c19c0-ced3-490b-9641-8d7d4705e99b,Nauplii
cc0b57e6-f75b-48df-9fc5-bc0e842696d1,Male;_Adult
bbf614c9-e468-4b94-80f9-e2bf7bf7d863,Cal2;_Calyptopis_2
96769b83-2d69-4f41-8bdf-89c5c6088973,Cal3;_Calyptopis_3
eb57adb7-5ec9-415d-b759-8c1586af5b89,Unknown
22f4e4c9-436d-442c-9017-20b55a88d69a,Unknown
e0a4773c-5e27-4901-a4fe-6b38f1e12667,Unknown
b9ea74bf-7a6a-458f-970f-804036f63ce4,Male;_Adult
459e2e32-51d6-4f97-8372-0de1af6e7750,2;_CII
581e1879-32ab-419e-97e7-acec145f4435,3;_CIII
78990a17-eeca-4e2e-9e73-c37e2d55f98a,4;_CIV
cf079ff6-b7d0-4ad6-afff-e5140244d0e5,5;_CV
822381eb-4a73-4401-9413-ef705b257fc0,Copepodite
421ee11d-010d-4446-9212-a677fc49f9c0,Male;_Adult
2dc3aec7-4cd5-49e1-a3d0-c21ec670dfa1,Adult
93f266d7-3f47-4c6d-9e1b-aaa43ac173c3,Female;_Adult
de313d0a-20ae-417c-9db0-9e189aecd0ef,Male;_Adult
c2d07cf6-79f1-4264-90cc-ce0a224351b9,4;_CIV
55b074f6-ab6e-4da2-b004-ae4ff529d013,5;_CV
2bc004d8-fec9-4d6f-9c2b-889942041126,Unknown
0548735b-cb7c-4d37-9697-e57c2986a2a6,Female;_Adult
c6ed3404-0803-40e4-8a4a-fb5bb28611a7,Male;_Adult
8017596b-0bfa-4143-af98-cbeedf23c8a6,3;_CIII
d8acc71a-6922-4cd7-9837-0f791ee12077,4;_CIV
d3917cf9-ce82-48f5-ab6b-9b9d5e59220e,5;_CV
58e831b1-df03-4c57-8e55-16f428fccc5c,Medusa
f2fe1d94-7882-48b3-8e21-483f8a953f34,Z1;_Zoea_I
9202ef65-c205-46c2-8fca-09d268620949,Unknown
15c93cf2-8a87-444a-8998-f5473d313f43,Unknown
cfdaf337-3251-43d1-8ead-2c1e1c2f4cd8,Adult
985afb26-bc2e-4a47-a292-e3e718933577,F1;_Furcilia_1
9079ff30-3725-4d5c-b0b8-9b50a0456ebc,F2;_Furcilia_2
9e27fe7c-5223-4765-864d-55b2a4ec59c1,F3;_Furcilia_3
2b1f5968-2539-43b5-83c7-a875b5555580,F4;_Furcilia_4
1c2ec2ad-1c1d-42a8-88e3-7782e2d06ba0,Juvenile
859135da-7552-4479-8026-c6fd21b6216a,Z1;_Zoea_I
e6da1b36-c473-46c2-b3c3-46962379b57c,Z3;_Zoea_III
d64b85a1-b60d-4dfa-b634-6086d45d2272,Z4;_Zoea_IV
083032a6-9280-40b5-957f-8372f8dcd322,Z5;_Zoea_V
d3777b43-6558-4744-93b6-3cad9dfb0289,Unknown
32cbaf51-adf7-43b0-b139-0d727439b740,Megalopa
832e1dfd-2a29-4abe-8816-7f862bfc767d,Zoea
ffb239d9-b92a-4a2a-ba60-9e395c998b8b,F2;_Furcilia_2
3ecab878-cd9a-4be3-a1ac-7dfc93ceab50,Female;_Adult
ead0e6f9-86cb-4936-9472-d1fe5e4e3d02,Male;_Adult
0a6d04f2-abdb-4cc3-b56c-6dd8f26a70c9,5;_CV
b0a16375-7888-4288-a921-6f2cdaa097bc,Veliger
5b18b23d-13e8-424d-b4cf-2d37a212dda4,Female;_Adult
6f055bf4-4fe8-485a-9ed6-177703cf4bee,1;_CI
de11e5e5-829b-45ee-9f16-04f631c72948,3;_CIII
